TV Show,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Heroes,"2,439,154","4,400,000","6,580,000","5,480,000",,,,,,,,
Top Gear,"1,217,923",,,,,,,,,,,
Battlestar Galatica,"706,209",,,,,,,,,,,
Lost,"705,724","5,730,000","6,310,000","5,940,000",,,,,,,,
Prision Break,"608,487","3,840,000","3,450,000",,,,,,,,,
Desperate Housewives,"457,805","1,990,000","2,180,000",,,,,,,,,
24,"524,303",,"2,440,000","2,240,000",,,,,,,,
Family Guy,"522,839",,,"1,620,000",,,,,,,,
Dexter,"435,670","1,660,000","2,780,000","3,880,000","3,620,000","3,850,000","3,100,000",,,,,
Scrubs,"427,420",,,,,,,,,,,
House,,"1,520,000","2,590,000","2,610,000","2,760,000","2,340,000",,,,,,
Grey's Anatomy,,"1,380,000","1,740,000",,,,,"2,800,000",,,,
Smallville,,"1,150,000",,,,,,,,,,
Stargate Atlantis,,"1,810,000",,,,,,,,,,
Terminator The Sarah Conner Chronicles,,"2,240,000","1,960,000",,,,,,,,,
True Blood,,,"1,600,000","1,920,000","1,850,000",,,,,,,
The Big Bang Theory,,,,"3,270,000","3,090,000","3,200,000","3,400,000","3,900,000","4,400,000","3,013,377","3,586,674","3,900,232"
How I Met Your Mother,,,,"2,490,000","2,410,000","2,960,000","3,000,000","3,500,000",,,,
Glee,,,,"1,700,000","2,200,000",,,,,,,
Game of Thrones,,,,,"3,400,000","4,280,000","5,900,000","8,100,000","14,400,000","13,721,143","15,972,500",
The Walking Dead,,,,,"2,060,000","2,550,000","3,600,000","4,800,000","6,900,000","6,069,432","5,996,387","5,404,722"
Terra Nova,,,,,"1,910,000",,,,,,,
Breaking Bad,,,,,"1,730,000","2,580,000","4,200,000",,,,,
Homeland,,,,,,"2,400,000","2,400,000",,,,,
Fringe,,,,,,"2,280,000",,,,,,
Revolution,,,,,,"2,130,000",,,,,,
Suits,,,,,,,"2,600,000","2,500,000","2,600,000","2,342,460","2,355,620","2,679,325"
Vikings,,,,,,,"2,300,000","2,700,000","3,300,000","2,857,628","2,620,818","3,499,038"
Arrow,,,,,,,"2,200,000","2,900,000","3,900,000","3,264,023","2,118,666","3,206,683"
Gotham,,,,,,,,"3,200,000",,,,
South Park,,,,,,,,"2,400,000",,,,
The Flash,,,,,,,,,"3,600,000","3,584,818","4,282,743","4,792,187"
Mr. Robot,,,,,,,,,"3,500,000",,,
Super Girl,,,,,,,,,"3,000,000",,,
The Blacklist,,,,,,,,,"2,900,000",,,
Grand Tour,,,,,,,,,,"2,155,640",,
Westworld,,,,,,,,,,"4,236,778",,"2,924,053"
Lucifer,,,,,,,,,,"2,552,278",,
Rick and Morty,,,,,,,,,,,"3,351,077",
Prision Break,,,,,,,,,,,"3,142,223",
Sherlock,,,,,,,,,,,"2,951,747",
Titans,,,,,,,,,,,,"3,314,896"
Supernatural,,,,,,,,,,,,"3,062,676"
DC's Legends of Tomorrow,,,,,,,,,,,,"2,834,581"
,,,,,,,,,,,,
Total,"8,045,534","25,720,000","31,630,000","31,150,000","25,030,000","28,570,000","32,700,000","36,800,000","48,500,000","42,878,571","45,635,714","36,031,482"