platform,soup_text
facebook,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/2VYfTUJ4c0d.png"); mask-position: 0px -1146px;
instagram,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/l7p3CRsfDyq.png"); mask-position: 0px -63px;
audience_network,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/l7p3CRsfDyq.png"); mask-position: 0px -46px;
messenger,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yX/r/qq1z0SeuhFu.png"); mask-position: 0px -663px;
facebook,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/y5/r/2VYfTUJ4c0d.png"); mask-position: 0px -1146px;
instagram,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yy/r/l7p3CRsfDyq.png"); mask-position: 0px -63px;
audience_network,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yy/r/l7p3CRsfDyq.png"); mask-position: 0px -46px;
messenger,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yX/r/qq1z0SeuhFu.png"); mask-position: 0px -663px;
facebook,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/TaUWlbzmu0R.png"); mask-position: 0px -1280px;
facebook,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/WdoB2mty_mp.png"); mask-position: 0px -269px;
facebook,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yH/r/mc8HAc3zHD2.png"); -webkit-mask-size: 25px 728px; -webkit-mask-position: 0px -269px;
instagram,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yH/r/mc8HAc3zHD2.png"); -webkit-mask-size: 25px 728px; -webkit-mask-position: 0px -286px;
audience_network,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yH/r/mc8HAc3zHD2.png"); -webkit-mask-size: 25px 728px; -webkit-mask-position: 0px -252px;
messenger,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/tDZ4VN4A-HZ.png"); -webkit-mask-size: 25px 704px; -webkit-mask-position: 0px -264px;
facebook,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/O2h8Nphzx_B.png"); mask-position: 0px -890px;
instagram,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/3ImrENrCw-D.png"); mask-position: 0px -322px;
messenger,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/3ImrENrCw-D.png"); mask-position: 0px -339px;
facebook,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/y8/r/O2h8Nphzx_B.png"); mask-position: 0px -890px;
instagram,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yA/r/3ImrENrCw-D.png"); mask-position: 0px -322px;
messenger,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yA/r/3ImrENrCw-D.png"); mask-position: 0px -339px;
instagram,width: 16px; height: 16px; mask-image: url("https://www.facebook.com/rsrc.php/v3/yA/r/3ImrENrCw-D.png"); mask-position: 0px -322px;
facebook,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/xFI9S0s0OJg.png"); mask-position: 0px -315px;
instagram,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/xFI9S0s0OJg.png"); mask-position: 0px -332px;
audience_network,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/xFI9S0s0OJg.png"); mask-position: 0px -298px;
messenger,width: 16px; height: 16px; mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/wxBiGF_UBj8.png"); mask-position: 0px -668px;
facebook,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/vUk-Vyl5ZIx.png"); -webkit-mask-size: 25px 1685px; -webkit-mask-position: 0px -789px;
instagram,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/1MoBnEP6Yl7.png"); -webkit-mask-size: 49px 707px; -webkit-mask-position: -25px -216px;
messenger,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/1MoBnEP6Yl7.png"); -webkit-mask-size: 49px 707px; -webkit-mask-position: 0px -299px;
audience_network,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/1MoBnEP6Yl7.png"); -webkit-mask-size: 49px 707px; -webkit-mask-position: -29px -82px;
facebook,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/vpUjPZglrYa.png"); -webkit-mask-size: 25px 1668px; -webkit-mask-position: 0px -789px;
instagram,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/y2gdd81yWb2.png"); -webkit-mask-size: 49px 458px; -webkit-mask-position: -29px -82px;
audience_network,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/opNQvHi7wz1.png"); -webkit-mask-size: 25px 710px; -webkit-mask-position: 0px -356px;
messenger,width: 16px; height: 16px; -webkit-mask-image: url("https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/opNQvHi7wz1.png"); -webkit-mask-size: 25px 710px; -webkit-mask-position: 0px -373px;
